area,city,floor,location,price,rooms,source,square_price,title
76,Beograd,3," Opština Vračar , Hram svetog Save , Svetog Save ",290000,2.0,halooglasi,3816,"Plato Hrama Svetog Save, Vračar, 76m2"
41,Vrnjačka Banja,2," Gradska lokacija , Raj , Kosovska br.1 ",82000,2.0,halooglasi,2000,Lux stan Akva Park Raj
37,Sokobanja,1," Gradska lokacija , Banjica , Profesora Dragoljuba Jovanovića ",60605,2.0,halooglasi,1650,Direktna prodaja stana u Sokobanji
34,Sokobanja,3," Gradska lokacija , Banjica , Profesora Dragoljuba Jovanovića ",59488,1.5,halooglasi,1760,Direktna prodaja stana Sokobanja
55,Beograd,2," Opština Zemun , Altina , Ugrinovački put 8. deo ",104500,2.0,halooglasi,1900,"Zemun, Altina, 2.0"
50,Kopaonik,4," Okolno mesto , Brzeće , Mramorska88 ",90000,2.0,halooglasi,1800,Apartman Brzeće  50m2 sa garaznim mestom
160,Beograd,2," Opština Savski venac , Dedinje , Mihaila Avramovića ",608000,4.0,halooglasi,3800,"Četvorosoban stan, Beograd, Dedinje"
108,Beograd,0," Opština Zemun , Batajnica , Žarka Bokuna ",150000,3.0,halooglasi,1389,"Batajnica 83+25+ dvorište 2ara  - kuće u nizu,"
55,Beograd,9," Opština Rakovica , Centar , Pilota Mihaila Petrovića ",126000,2.5,halooglasi,2291,"Kod Premijera, Pilota Mihaila Petrovića, mereno 70"
67,Beograd,4," Opština Zvezdara , Đeram pijaca , Đuke Dinić ",175000,3.5,halooglasi,2612,"Zvezdara, 67m2, garaža ID#7338"
106,Beograd,2," Opština Stari grad , Skupština , Vlajkovićeva ",370000,4.0,halooglasi,3491,"Skupština, Vlajkovićeva, 106m2 ID#7420"
76,Beograd,1," Opština Savski venac , Beograđanka , Admirala Geprata ",289000,3.0,halooglasi,3803,"Centar, Admirala Geprata, 76m2, sa parking mestom"
44,Beograd,1," Opština Vračar , Krunski venac , Hadži Prodanova ",147900,2.0,halooglasi,3361,"Vračar, Hadži Prodanova, salonac, 44m2 ID#7436"
94,Beograd,6," Opština Voždovac , Medaković 3 , Borivoja Stevanovića ",240000,4.0,halooglasi,2553,"Prelep, delimično renovoviran stan ID#7501"
55,Beograd,4," Opština Palilula , Karaburma , Husinskih rudara ",104000,2.0,halooglasi,1891,"Stan u mirnom delu Karaburme, mereno 68m2 ID#7522"
74,Beograd,5," Opština Novi Beograd , Blok 61 , Dr Ivana Ribara ",184000,3.0,halooglasi,2486,"Novi Beograd, 74m2 + 6m2 lođa ID#7560"
97,Beograd,3," Opština Vračar , Crveni krst , Metohijska ",350000,4.0,halooglasi,3608,"Crveni krst, lux stan 97m2 ID#7563"
41,Beograd,2," Opština Voždovac , Lekino brdo , Varvarinska ",145000,2.0,halooglasi,3537,"Lekino brdo, 2.0 stan ID#7566"
66,Beograd,0.5," Opština Vračar , Pravni fakultet , Prote Mateje ",235000,3.5,halooglasi,3561,"Vračar, salonac, mereno 70m2 ID#7589"
89,Beograd,1," Opština Vračar , Kalenić pijaca , Mileševska ",320000,3.5,halooglasi,3596,"Vračar, na odličnoj lokaciji ID#7642"
100,Beograd,5," Opština Vračar , Centar , Resavska ",380000,3.0,halooglasi,3800,Izuzetna mikrolokacija ID#7684
51,Beograd,1," Opština Voždovac , Naselje Stepa Stepanović , Generala Štefanika ",165000,2.5,halooglasi,3235,"Naselje Stepa Stepanović, 51m2 ID#7714"
30,Beograd,11," Opština Novi Beograd , Blok 62 , Jurija Gagarina ",98000,1.5,halooglasi,3267,"Novi Beograd, 30m2 ID#7715"
97,Beograd,4," Opština Novi Beograd , Bežanijska kosa 2 , Marka Čelebonovića ",265000,3.5,halooglasi,2732,"Bežanijska kosa, Marka Čelebonovića, 97m2 ID#7730"
91,Beograd,0.5," Opština Zemun , Batajnica , Kneza Paskača ",119000,4.0,halooglasi,1308,"Batajnica, uknjižen, funkcionalan 4s ID#7731"
51,Beograd,5," Opština Mladenovac , Mladenovac (mesto) , Momčila Živojinovića ",59000,1.5,halooglasi,1157,Novogradnja  - akcijska ponuda! Bez provizije!
55,Beograd,p," Opština Zemun , Altina , Ugrinovački put 8. deo ",95000,2.0,halooglasi,1727,"Zemun, Altina, 2.0"
84,Beograd,1," Opština Novi Beograd , Blok 64 , Gandijeva ",205000,3.5,halooglasi,2440,"Blok 64, Gandijeva"
44,Beograd,0," Opština Zvezdara , Konjarnik , Blagajska ",102000,1.5,halooglasi,2318,Konjarnik Blagajska
39,Beograd,0," Opština Stari grad , Centar , Cara Lazara ",118000,1.0,halooglasi,3026,Srce grada -pešačka zona - direkt od vlasnika
37,Beograd,p," Opština Novi Beograd , Hotel Jugoslavija , Aleksinačkih rudara ",120000,1.0,halooglasi,3243,"Hotel Yu, Aleksinačkih rudara"
53,Beograd,p," Opština Zemun , Save Kovačevića , Slikarska ",108000,3.0,halooglasi,2038,"Slikarska, Naselje Sava Kovačević, Zemun"
76,Zlatibor,p," Planina , Sloboda , Kiridžijska ",95000,3.5,halooglasi,1262,Zlatibor-Apartman-3nivoa
122,Beograd,1," Opština Voždovac , Vojvode Stepe , Vojvode Stepe ",320000,4.0,halooglasi,2623,"Vojvode Stepe, 122m2 i 3 parking mesta"
133,Beograd,1," Opština Novi Beograd , Bežanijska kosa 2 , Marka Čelebonovića ",310000,4.5,halooglasi,2331,"Bežanijska kosa, komforan stan, mereno 135m2 ID#77"
47,Beograd,1," Opština Palilula , Karaburma , Ćustendilska ",108500,2.5,halooglasi,2309,"Karaburma, lux novogradnja 47m2 ID#7749"
42,Beograd,3," Opština Novi Beograd , Ledine , Danice Kojić ",75000,1.0,halooglasi,1807,Stan Ledine - Hitna prodaja
53,Beograd,1," Opština Novi Beograd , Blok 63 , Jurija Gagarina ",230000,3.0,halooglasi,4340,"Jurija Gagarina, Blok 63, Novi Beogard"
78,Beograd,3," Opština Novi Beograd , Hotel Jugoslavija , Aleksinačkih rudara ",215000,2.5,halooglasi,2756,"Novi Beograd, Hotel Jugoslavija - Aleksinačkih rud"
87,Beograd,7," Opština Novi Beograd , Blok 38 , Bulevar Arsenija Čarnojevića ",219000,3.5,halooglasi,2517,"Blok 38, 87kvm+L, dvostran, funkcionalan"
49,Beograd,3," Opština Palilula , Karaburma , Husinskih rudara ",127000,2.0,halooglasi,2592,Karaburma stara okretnica 49m2+10m2 terasa.
51,Beograd,1," Opština Zemun , Zemun polje , Михајла Пупина 17 ",85000,2.0,halooglasi,1667,"Продајем  двособан стан 51м2, укњижен."
71,Beograd,0.5," Opština Rakovica , Stari Košutnjak , Pere Velimirovića ",170000,2.5,halooglasi,2394,Stari Košutnjak - Pere Velimirovića 71kvm
49,Vrnjačka Banja,2," Gradska lokacija , Centar ",98000,1.0,halooglasi,2000,"Vrnjačka banja, centar, jednosoban stan"
53,Kopaonik,2," Planina , Centar , Jovana Cvijića 44 - Vila Nikola ",300000,2.0,halooglasi,5660,Kopaonik – Centar - Jovana Cvijica 44 - Vila Nikol
103,Beograd,3," Opština Vračar , Čubura , Čuburska ",350000,3.0,halooglasi,3398,"Odličan stan nadomak Hrama, Čuburska, 103m2 ID#119"
96,Beograd,2," Opština Stari grad , London , Kneza Miloša ",285000,4.0,halooglasi,2969,"Dvor, četvorosoban salonac, renoviran! ID#1317"
59,Beograd,15," Opština Zvezdara , Konjarnik , Rudo ",126000,2.0,halooglasi,2136,"Odlična ponuda, stan, 59m2, Rudo, Konjarnik ID#122"
93,Beograd,p," Opština Palilula , Karaburma , Prominska ",210000,3.0,halooglasi,2258,Karaburma - Prominska
45,Rača,5," Gradska lokacija , Centar , Vojvode Pavla Cukica ",33127,2.0,halooglasi,736,"45m2 - Rača Residence, Šumadija, Centralna Srbija"
70,Pančevo,0," Gradska lokacija , Centar ,  ",96950,3.0,halooglasi,1385,70m2 – East District – Pančevo – Oslobođenja
77,Pančevo,0," Gradska lokacija , Centar ,  ",106645,3.0,halooglasi,1385,77m2 – East District – Pančevo – Oslobođenja
61,Beograd,p," Opština Novi Beograd , Ledine , Surčinski put ",109800,2.5,halooglasi,1800,Novogradnja-uknjizeno-odmah useljivo
91,Beograd,5," Opština Novi Beograd , Hotel Jugoslavija ,  ",370000,4.0,halooglasi,4066,Prelep lux stan u novogradnji
77,Pančevo,2," Gradska lokacija , Centar , Dimitrija Tucovića ",110000,3.0,halooglasi,1429,"Prodaja 3,0 stana u Dimitrija Tucovića u Pančevu I"
41,Pančevo,2," Gradska lokacija , Misa , Vojvođanska ",58999,1.5,halooglasi,1439,Novogradnja Lux stan 41m2 na RATE
885,Beograd,p," Opština Savski venac , Beograd na vodi , Hercegovačka ",7310888,6,halooglasi,8263,"BW Riviera, stan sa bazenom ID#9324"
57,Beograd,4," Opština Novi Beograd , Blok 2 , Pariske komune ",173500,2.0,halooglasi,3044,2.0 stan - Fontana Lux
134,Beograd,1," Opština Savski venac , Dedinje , Krupanjska ",450000,4.0,halooglasi,3358,"4.0, renoviran, savršena lokacija, uknjižen 134m2"
35,Beograd,0.5," Opština Zvezdara , Lipov lad , Subotička ",129000,1.5,halooglasi,3686,Namešten lep stan u kvalitetnoj zgradi
34,Beograd,p," Opština Palilula , Karaburma , Aleksandra Fleminga ",94900,1.0,halooglasi,2791,Lux Uknjizen stan sa namestajem 34m2
94,Beograd,3," Opština Palilula , Centar , Kneza Danila ",324300,3.0,halooglasi,3450,"Odličan, namešten stan sa garažom"
