area,city,floor,location,price,rooms,source,square_price,title,opstina,latitude,longitude
65,Beograd,1," Opština Zemun, Altina, Hemingvejeva",107250,3.0,halooglasi,1650,Altina Hemingvejeva,Zemun,44.8483595,20.3668878
60,Beograd,p," Opština Vračar, Cvetni trg, Resavska",280000,2.5,halooglasi,4667,"Kod Manježa, 60+30 ID#1310",Vračar,44.8057104,20.4652552
67,Beograd,3,"Konjarnik (Voždovački deo), Voždovac opština",150000,2.0,4zida,2239,Vladimira Tomanovića,Voždovac,44.7836683,20.4942268
127,Beograd,6," Opština Čukarica, Cerak vinogradi, Jasenova",244900,4.0,halooglasi,1928,"Cerak vinogradi, Jasenova",Čukarica,44.7477182,20.4258128
69,Beograd,4," Opština Savski venac, Ekonomski fakultet, Karađorđeva",165000,3.0,halooglasi,2391,"Savski trg, 69m2, IV, ta",Savski Venac,44.8119117,20.4549129
108,Beograd,1," Opština Čukarica, Filmski grad, Kneza Višeslava",252000,4.0,halooglasi,2333,"Filmski grad, veoma lepo sređen, garaža, ID 20320",Čukarica,44.7467417,20.4290634
122,Beograd,6," Opština Čukarica, Cerak vinogradi, Vinogradski venac",195000,6.0,halooglasi,1598,"Cerak vinogradi, Vinogradski venac",Čukarica,44.7479344,20.4133585
50,Beograd,1,"Kotež, Palilula opština",79900,2.5,4zida,1598,Kalovita,Palilula,44.85034,20.4689381
51,Beograd,p," Opština Zemun, Pregrevica, ",152940,2.0,halooglasi,2999,"Novogradnja, Pregrevica, stan 51m2",Zemun,44.8541701,20.3933057
42,Beograd,8," Opština Zvezdara, Mirijevo, Mirijevski Venac",80000,1.0,halooglasi,1905,"Mirijevo 1.0,  42 m2, uknjižen",Zvezdara,44.791918,20.5326493
50,Beograd,3,"Karaburma, Palilula opština",95000,2.0,4zida,1900,Husinskih rudara,Palilula,44.8172035,20.4930174
41,Beograd,4," Opština Čukarica, Filmski grad, Ilije Stojadinovića",119000,1.0,halooglasi,2902,Uknjižen stan - Filmski grad ID#3403,Čukarica,44.7497403,20.4296438
170,Beograd,p," Opština Vračar, Gospodara Vučića, ",543990,6.0,halooglasi,3200,"Vračar (Beograd), Gospodara Vučića, Stan, 5, 170m2",Vračar,44.7979128,20.4721945
50,Beograd,0," Opština Stari grad, Skupština, Palmotićeva",179900,2.0,halooglasi,3598,Palmotićeva,Stari Grad,44.8127043,20.4651683
67,Beograd,6," Opština Čukarica, Banovo brdo, Požeška",238788,2.0,halooglasi,3564,Banovo brdo - Pozeska ID#4025,Čukarica,44.7782324,20.4150745
70,Beograd,4," Opština Novi Beograd, Blok 23, Bulevar Arsenija Čarnojevića",229000,3.0,halooglasi,3271,"Blok 23, BAČ, trosoban, renoviran, svetao",Novi Beograd,44.8089458,20.4266481
58,Beograd,0," Opština Zvezdara, Mirijevo, Aleksandra Tomaševića",105000,2.0,halooglasi,1810,"Mirijevo, Aleksandra Tomaševića, 58m2, 2.0 ID#2496",Zvezdara,44.800156,20.524483
