area,city,floor,location,price,rooms,source,square_price,title,opstina,latitude,longitude
51,Novi Sad,p," Opština Novi Sad, Grbavica, Puškinova",115000,2.0,halooglasi,2255,Dvosoban stan na Grbavici,Novi Sad,45.2442871,19.8346846
62,Novi Sad,6," Opština Novi Sad, Bulevar Oslobođenja",159650,2.5,halooglasi,2575,Kompletno renoviran! Odličan dvoiposoban stan!,Novi Sad,45.2578183,19.8336464
51,Novi Sad,0.5," Opština Novi Sad, Bulevar Evrope",121000,2.0,halooglasi,2373,"Bez provizije sa pdv-om, odlična ponuda",Novi Sad,45.2400524,19.8225153
29,Novi Sad,0," Opština Novi Sad, Telep, ",66950,1.0,halooglasi,2309,"Telep, 29m2, garsonjera!",Novi Sad,45.2406804,19.8113633
137,Novi Sad,p," Opština Novi Sad, Sajam, ",260000,3.5,halooglasi,1898,Troiposoban stan kod Sajma! ID#6077,Novi Sad,45.2581372,19.8202913
58,Novi Sad,1," Opština Novi Sad, Avijatičarsko naselje, ",138456,3.0,halooglasi,2400,"Novi Sad, Avijatičarsko naselje ID#2099",Novi Sad,45.269078,19.8068519
103,Novi Sad,4," Opština Novi Sad, Socijalno, ",232650,4.0,halooglasi,2259,"Socijalno, 103 m2, 232650€",Novi Sad,45.2581203,19.8382006
44,Novi Sad,1," Opština Novi Sad, Satelit, ",98900,2.0,halooglasi,2248,"Satelit, 44 m2, Dvosoban kod Pijace",Novi Sad,45.2481395,19.8000187
71,Novi Sad,1," Opština Novi Sad, Podbara, ",164800,3.5,halooglasi,2321,"Podbara, 71m2, Troiposoban, Novogradnja",Novi Sad,45.2629836,19.8469022
43,Novi Sad,1," Opština Novi Sad, Nova Detelinara, ",119580,2.0,halooglasi,2781,"Dvosoban stan, 43m2, Pdv",Novi Sad,45.2591333,19.815203
83,Novi Sad,4," Opština Novi Sad, Klisa, ",140750,3.0,halooglasi,1696,"Klisa, 83 m2, 140750€",Novi Sad,45.290699,19.8219044
31,Novi Sad,5,"Liman, Gradske lokacije",81370,1.0,4zida,2625,Liman 2,Novi Sad,45.237216,19.8390182
53,Novi Sad,3," Opština Novi Sad, Grbavica, ",139150,2.0,halooglasi,2625,"Grbavica, 53m2+terasa 5m2, Dvosoban",Novi Sad,45.2471676,19.8350168
27,Novi Sad,1," Opština Novi Sad, Veternik, ",60640,0.5,halooglasi,2246,Useljiv - Nov - PDV - Veternik ID#6097,Novi Sad,45.243609,19.7782342
62,Novi Sad,2," Opština Novi Sad, Salajka, ",134900,3.0,halooglasi,2176,Nov - PDV - Izuzetna ponuda - Salajka ID#6045,Novi Sad,45.268517,19.8374432
110,Novi Sad,5," Opština Novi Sad, Centar, Radnička",463500,4.0,halooglasi,4214,"Novi Sad, Centar, ul. Radnička - Odličan stan sa g",Novi Sad,45.2497486,19.850151
27,Novi Sad,0," Opština Novi Sad, Adice, ",43100,1.0,halooglasi,1596,"Adice, 27 m2, Jednosoban !",Novi Sad,45.2371923,19.7877485
60,Novi Sad,p," Opština Novi Sad, Novo Naselje, ",118450,3.0,halooglasi,1974,Odličan stan na Novom Naselju ID#6250,Novi Sad,45.254413,19.8006493
66,Novi Sad,4,"Detelinara, Gradske lokacije",151400,3.0,4zida,2294,Nova Detelinara,Novi Sad,45.2615845,19.8130098
51,Novi Sad,5," Opština Novi Sad, Spens",196000,2.0,halooglasi,3843,*Retko u ponudi-City gradnja Spens*,Novi Sad,45.2470265,19.8455004
80,Novi Sad,5,"Liman 4, Liman, Gradske lokacije",160000,2.5,4zida,2000,1300 KAPLARA,Novi Sad,45.2388408,19.8318784
66,Novi Sad,4," Opština Novi Sad, Nova Detelinara, Janka Veselinovića",151400,3.0,halooglasi,2294,Delimicno opremljen 3.0 stan za Prodaju,Novi Sad,45.2598455,19.8129972
29,Novi Sad,3," Opština Novi Sad, Centar, Železnička",116390,0.5,halooglasi,4013,"Novi Sad, Centar - Uknjižena garsonjera ID#1000621",Novi Sad,45.2507695,19.8417041
32,Novi Sad,0," Opština Novi Sad, Bulevar patrijarha Pavla, ",72100,1.5,halooglasi,2253,"Somborski Bulevar, 32m2, Jednoiposoban, Novogradnj",Novi Sad,45.2399654,19.8192807
50,Novi Sad,0.5," Petrovaradin, Petrovaradin",88800,2.0,halooglasi,1776,"Izgradnja, može na kredit, bez provizije",Novi Sad,45.2426175,19.8820073
80,Novi Sad,1," Petrovaradin, Sremska Kamenica, ",144800,4.0,halooglasi,1810,"Sremska Kamenica, 80 m2, 144800€",Novi Sad,45.2176049,19.8145674
74,Novi Sad,3," Opština Novi Sad, Liman 4, ",247200,3.0,halooglasi,3341,"Liman Iv, 74 m2, Trosoban, Komplet Namešten",Novi Sad,45.2381558,19.8296788
44,Novi Sad,2," Opština Novi Sad, Novi Bulevar, ",97850,1.5,halooglasi,2224,"Novi Sad, Novi Bulevar, Stan, 1.5, 44,00m2",Novi Sad,45.2403184,19.8127384
29,Novi Sad,3," Opština Novi Sad, Novo Naselje, Đorđa Nikšića Johana",70000,0.5,halooglasi,2414,"Novi Sad, Novo Naselje, Đorđa Nikšića Johana, 0.5,",Novi Sad,45.2576886,19.8062897
76,Novi Sad,p," Opština Novi Sad, Kej, ",229500,4.0,halooglasi,3020,"Kej, 76 m2,Četvorosoban sa pdv",Novi Sad,45.2631472,19.8522926
43,Novi Sad,p," Opština Novi Sad, Lipov gaj, ",73100,2.5,halooglasi,1700,"Kod Lipov Gaja, 43 m2, Dvoiposoban sa Pdv",Novi Sad,45.2420333,19.7770083
